Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"05.02.2019 14:50"
Zeitbezug:;MEZ
Messstellen-Name:;"Tiefste Stelle"
Messstellen-Nr.:;2054
Gewässer:;Rachelsee
"Rechtswert:  4602689.77";"Hochwert:  5427308.44";"EPSG 31468"

Datum;"NO3-N [mg/l] (-1.0 m ü. Grund)";"SiO2 [mg/l] (-1.0 m ü. Grund)";"O2-gelöst [mg/l] (-1.0 m ü. Grund)";"NH4-N [mg/l] (-1.0 m ü. Grund)";"pH-Wert (vor Ort) [-] (-1.0 m ü. Grund)";"o-PO4-P [mg/l] (-1.0 m ü. Grund)";"KS 4,3 [mmol/l] (-1.0 m ü. Grund)";"Wassertemp.(vor Ort) [°C] (-1.0 m ü. Grund)";"LF (20 °C) vor Ort [µS/cm] (-1.0 m ü. Grund)";"Na gelöst [mg/l] (-1.0 m ü. Grund)";"K gelöst [mg/l] (-1.0 m ü. Grund)";"P-ges. gelöst [mg/l] (-1.0 m ü. Grund)";"SO4 [mg/l] (-1.0 m ü. Grund)";"Chlorid [mg/l] (-1.0 m ü. Grund)";"Mg gelöst [mg/l] (-1.0 m ü. Grund)";"P-ges. [mg/l] (-1.0 m ü. Grund)";"O2-Sättigungsindex [%] (-1.0 m ü. Grund)";"KB 8,2 [mmol/l] (-1.0 m ü. Grund)";"SPAK 254 nm [1/m] (-1.0 m ü. Grund)";"Mn gelöst [mg/l] (-1.0 m ü. Grund)";"Fe gelöst [mg/l] (-1.0 m ü. Grund)";"Ca gelöst [mg/l] (-1.0 m ü. Grund)";"N-ges. [mg/l] (-1.0 m ü. Grund)";"NO3-N [mg/l] (0.0 m Tiefe)";"SiO2 [mg/l] (0.0 m Tiefe)";"P-ges. [mg/l] (0.0 m Tiefe)";"O2-gelöst [mg/l] (0.0 m Tiefe)";"NH4-N [mg/l] (0.0 m Tiefe)";"Sichttiefe [cm] (0.0 m Tiefe)";"pH-Wert (vor Ort) [-] (0.0 m Tiefe)";"o-PO4-P [mg/l] (0.0 m Tiefe)";"KS 4,3 [mmol/l] (0.0 m Tiefe)";"Wassertemp.(vor Ort) [°C] (0.0 m Tiefe)";"LF (20 °C) vor Ort [µS/cm] (0.0 m Tiefe)";"Na gelöst [mg/l] (0.0 m Tiefe)";"K gelöst [mg/l] (0.0 m Tiefe)";"P-ges. gelöst [mg/l] (0.0 m Tiefe)";"SO4 [mg/l] (0.0 m Tiefe)";"Chlorid [mg/l] (0.0 m Tiefe)";"Mg gelöst [mg/l] (0.0 m Tiefe)";"O2-Sättigungsindex [%] (0.0 m Tiefe)";"KB 8,2 [mmol/l] (0.0 m Tiefe)";"SPAK 254 nm [1/m] (0.0 m Tiefe)";"Mn gelöst [mg/l] (0.0 m Tiefe)";"Fe gelöst [mg/l] (0.0 m Tiefe)";"Ca gelöst [mg/l] (0.0 m Tiefe)";"N-ges. [mg/l] (0.0 m Tiefe)";"NO3-N [mg/l] (2.0 m Tiefe)";"SiO2 [mg/l] (2.0 m Tiefe)";"O2-gelöst [mg/l] (2.0 m Tiefe)";"NH4-N [mg/l] (2.0 m Tiefe)";"pH-Wert (vor Ort) [-] (2.0 m Tiefe)";"o-PO4-P [mg/l] (2.0 m Tiefe)";"KS 4,3 [mmol/l] (2.0 m Tiefe)";"Wassertemp.(vor Ort) [°C] (2.0 m Tiefe)";"LF (20 °C) vor Ort [µS/cm] (2.0 m Tiefe)";"Na gelöst [mg/l] (2.0 m Tiefe)";"K gelöst [mg/l] (2.0 m Tiefe)";"P-ges. gelöst [mg/l] (2.0 m Tiefe)";"SO4 [mg/l] (2.0 m Tiefe)";"Chlorid [mg/l] (2.0 m Tiefe)";"Mg gelöst [mg/l] (2.0 m Tiefe)";"P-ges. [mg/l] (2.0 m Tiefe)";"O2-Sättigungsindex [%] (2.0 m Tiefe)";"KB 8,2 [mmol/l] (2.0 m Tiefe)";"SPAK 254 nm [1/m] (2.0 m Tiefe)";"Mn gelöst [mg/l] (2.0 m Tiefe)";"Fe gelöst [mg/l] (2.0 m Tiefe)";"Ca gelöst [mg/l] (2.0 m Tiefe)";"N-ges. [mg/l] (2.0 m Tiefe)";"NO3-N [mg/l] (4.0 m Tiefe)";"SiO2 [mg/l] (4.0 m Tiefe)";"O2-gelöst [mg/l] (4.0 m Tiefe)";"NH4-N [mg/l] (4.0 m Tiefe)";"pH-Wert (vor Ort) [-] (4.0 m Tiefe)";"o-PO4-P [mg/l] (4.0 m Tiefe)";"KS 4,3 [mmol/l] (4.0 m Tiefe)";"Wassertemp.(vor Ort) [°C] (4.0 m Tiefe)";"LF (20 °C) vor Ort [µS/cm] (4.0 m Tiefe)";"Na gelöst [mg/l] (4.0 m Tiefe)";"K gelöst [mg/l] (4.0 m Tiefe)";"P-ges. gelöst [mg/l] (4.0 m Tiefe)";"SO4 [mg/l] (4.0 m Tiefe)";"Chlorid [mg/l] (4.0 m Tiefe)";"Mg gelöst [mg/l] (4.0 m Tiefe)";"P-ges. [mg/l] (4.0 m Tiefe)";"O2-Sättigungsindex [%] (4.0 m Tiefe)";"KB 8,2 [mmol/l] (4.0 m Tiefe)";"SPAK 254 nm [1/m] (4.0 m Tiefe)";"Mn gelöst [mg/l] (4.0 m Tiefe)";"Fe gelöst [mg/l] (4.0 m Tiefe)";"Ca gelöst [mg/l] (4.0 m Tiefe)";"N-ges. [mg/l] (4.0 m Tiefe)";"NO3-N [mg/l] (6.0 m Tiefe)";"SiO2 [mg/l] (6.0 m Tiefe)";"O2-gelöst [mg/l] (6.0 m Tiefe)";"NH4-N [mg/l] (6.0 m Tiefe)";"pH-Wert (vor Ort) [-] (6.0 m Tiefe)";"o-PO4-P [mg/l] (6.0 m Tiefe)";"KS 4,3 [mmol/l] (6.0 m Tiefe)";"Wassertemp.(vor Ort) [°C] (6.0 m Tiefe)";"LF (20 °C) vor Ort [µS/cm] (6.0 m Tiefe)";"Na gelöst [mg/l] (6.0 m Tiefe)";"K gelöst [mg/l] (6.0 m Tiefe)";"P-ges. gelöst [mg/l] (6.0 m Tiefe)";"SO4 [mg/l] (6.0 m Tiefe)";"Chlorid [mg/l] (6.0 m Tiefe)";"Mg gelöst [mg/l] (6.0 m Tiefe)";"P-ges. [mg/l] (6.0 m Tiefe)";"O2-Sättigungsindex [%] (6.0 m Tiefe)";"KB 8,2 [mmol/l] (6.0 m Tiefe)";"SPAK 254 nm [1/m] (6.0 m Tiefe)";"Mn gelöst [mg/l] (6.0 m Tiefe)";"Fe gelöst [mg/l] (6.0 m Tiefe)";"Ca gelöst [mg/l] (6.0 m Tiefe)";"N-ges. [mg/l] (6.0 m Tiefe)";"NO3-N [mg/l] (8.0 m Tiefe)";"SiO2 [mg/l] (8.0 m Tiefe)";"O2-gelöst [mg/l] (8.0 m Tiefe)";"NH4-N [mg/l] (8.0 m Tiefe)";"pH-Wert (vor Ort) [-] (8.0 m Tiefe)";"o-PO4-P [mg/l] (8.0 m Tiefe)";"KS 4,3 [mmol/l] (8.0 m Tiefe)";"Wassertemp.(vor Ort) [°C] (8.0 m Tiefe)";"LF (20 °C) vor Ort [µS/cm] (8.0 m Tiefe)";"Na gelöst [mg/l] (8.0 m Tiefe)";"K gelöst [mg/l] (8.0 m Tiefe)";"P-ges. gelöst [mg/l] (8.0 m Tiefe)";"SO4 [mg/l] (8.0 m Tiefe)";"Chlorid [mg/l] (8.0 m Tiefe)";"Mg gelöst [mg/l] (8.0 m Tiefe)";"P-ges. [mg/l] (8.0 m Tiefe)";"O2-Sättigungsindex [%] (8.0 m Tiefe)";"KB 8,2 [mmol/l] (8.0 m Tiefe)";"SPAK 254 nm [1/m] (8.0 m Tiefe)";"Mn gelöst [mg/l] (8.0 m Tiefe)";"Fe gelöst [mg/l] (8.0 m Tiefe)";"N-ges. [mg/l] (8.0 m Tiefe)";"Ca gelöst [mg/l] (8.0 m Tiefe)";"NO3-N [mg/l] (10.0 m Tiefe)";"SiO2 [mg/l] (10.0 m Tiefe)";"O2-gelöst [mg/l] (10.0 m Tiefe)";"NH4-N [mg/l] (10.0 m Tiefe)";"pH-Wert (vor Ort) [-] (10.0 m Tiefe)";"o-PO4-P [mg/l] (10.0 m Tiefe)";"KS 4,3 [mmol/l] (10.0 m Tiefe)";"Wassertemp.(vor Ort) [°C] (10.0 m Tiefe)";"LF (20 °C) vor Ort [µS/cm] (10.0 m Tiefe)";"Na gelöst [mg/l] (10.0 m Tiefe)";"K gelöst [mg/l] (10.0 m Tiefe)";"P-ges. gelöst [mg/l] (10.0 m Tiefe)";"SO4 [mg/l] (10.0 m Tiefe)";"Chlorid [mg/l] (10.0 m Tiefe)";"Mg gelöst [mg/l] (10.0 m Tiefe)";"P-ges. [mg/l] (10.0 m Tiefe)";"O2-Sättigungsindex [%] (10.0 m Tiefe)";"KB 8,2 [mmol/l] (10.0 m Tiefe)";"SPAK 254 nm [1/m] (10.0 m Tiefe)";"Mn gelöst [mg/l] (10.0 m Tiefe)";"Fe gelöst [mg/l] (10.0 m Tiefe)";"Ca gelöst [mg/l] (10.0 m Tiefe)";"N-ges. [mg/l] (10.0 m Tiefe)";Prüfstatus
"2004-06-28 00:00:00";1,6;5,00;5,7;0,24;5,00;0;0,08;6,4;27,00;0,8;0,9;0,007;3,00;0,7;0,8;;;;;;;;;1,6;3,7;0,008;9,00;0,03;280,00;4,6;0;0,07;16,2;26,00;1,2;0,8;0,008;3,1;0,7;1,00;;;;;;;;1,7;3,8;9,2;0,02;4,5;0;0,05;15,7;26,00;0,8;0,7;0,008;2,6;0,6;0,7;;;;;;;;;1,9;3,9;10,7;0,02;4,5;0;0,05;13,2;29,00;0,7;0,7;0,007;2,6;0,6;0,7;;;;;;;;;2,00;4,7;11,2;0,07;4,6;0;0,06;9,3;28,00;0,8;0,9;0,007;2,7;0,7;0,7;;;;;;;;;2,00;4,9;10,1;0,11;4,7;0;0,07;7,1;28,00;0,8;0,9;0,006;2,9;0,8;0,7;;;;;;;;;1,7;5,00;7,00;0,2;4,8;0;0,07;6,4;27,00;1,00;0,9;0,007;2,9;0,9;0,8;;;;;;;;;Geprueft
"2004-08-16 00:00:00";1,4;4,8;5,3;0,28;5,2;0;0,09;8,3;26,00;1,2;0,9;;2,9;0,7;0,7;0,01;;;;;;;;1,3;3,9;0,01;7,9;0,05;500,00;4,8;0;0,08;19,7;22,00;1,5;0,9;;2,7;0,6;1,00;;;;;;;;1,3;3,9;7,8;0,04;4,8;0;0,06;18,5;22,00;1,1;0,9;;2,7;0,6;0,7;0,01;;;;;;;;1,3;3,9;7,9;0,04;4,8;0;0,06;18,1;23,00;0,8;0,8;;2,7;0,5;0,6;0,01;;;;;;;;1,9;4,6;11,8;0,05;4,8;0;0,06;12,3;28,00;0,8;0,9;;2,8;0,7;0,7;0,01;;;;;;;;1,9;4,8;10,9;0,11;4,9;0;0,08;11,2;28,00;1,00;1,00;;3,00;0,7;0,8;0,01;;;;;;;;1,6;4,8;6,9;0,22;5,00;0;0,08;8,3;26,00;0,9;1,00;;2,9;0,7;0,8;0,01;;;;;;;;Geprueft
"2004-09-20 00:00:00";1,3;5,00;4,3;0,36;4,8;0;0,09;6,7;24,00;0,8;0,9;;2,9;0,9;0,8;0,01;;;;;;;;1,2;4,1;0,01;8,4;0,04;640,00;4,9;0;0,05;14,6;20,00;1,2;0,7;;2,8;0,6;0,8;;;;;;;;1,2;4,1;8,5;0,04;4,9;0;0,06;14,6;21,00;0,8;0,7;;2,8;0,7;0,6;0,01;;;;;;;;1,3;4,1;8,5;0,04;4,4;0;0,06;14,4;21,00;0,7;0,6;;2,8;0,6;0,6;0,01;;;;;;;;1,7;4,7;11,4;0,05;4,4;0;0,06;12,3;26,00;0,8;0,8;;2,8;0,6;0,7;0,01;;;;;;;;1,8;4,9;10,9;0,11;4,4;0;0,06;8,5;27,00;0,8;0,9;;2,9;0,8;0,8;0,01;;;;;;;;1,3;5,00;5,1;0,33;4,7;0;0,09;6,8;24,00;0,9;1,00;;2,9;0,7;0,8;0;;;;;;;;Geprueft
"2005-05-18 00:00:00";1,4;4,00;9,2;0,09;4,5;0;0,06;4,7;23,00;1,2;0,8;;2,7;0,6;0,6;0;;;;;;;;1,5;3,8;0,05;9,6;0,08;500,00;4,5;0;0,1;8,8;22,00;1,2;0,7;;2,6;0,8;1,1;;;;;;;;1,5;3,9;9,9;0,08;4,3;0;0,06;8,4;23,00;0,8;0,6;;2,6;0,6;0,7;0;;;;;;;;1,5;3,9;9,9;0,08;4,3;0;0,06;6,3;23,00;0,9;0,6;;2,6;0,7;0,6;0;;;;;;;;1,5;4,00;9,7;0,05;4,4;0;0,06;5,5;23,00;0,9;0,6;;2,7;0,7;0,6;0;;;;;;;;1,5;4,00;9,4;0,08;4,4;0;0,06;4,9;23,00;1,3;0,7;;2,6;0,6;0,7;0;;;;;;;;1,5;4,00;9,1;0,09;4,5;0;0,06;4,8;23,00;0,9;0,6;;2,6;0,6;0,6;0;;;;;;;;Geprueft
"2005-08-08 00:00:00";1,00;3,3;6,3;0,17;4,2;0;0,07;6,00;20,00;0,7;0,7;;2,6;0,6;0,5;0;;;;;;;;0,9;3,3;0,01;8,6;0,05;280,00;4,6;0;0,06;15,00;19,00;0,6;0,5;;2,7;0,7;0,5;;;;;;;;0,9;3,3;8,5;0,03;4,3;0;0,05;15,00;19,00;0,6;0,5;;2,8;0,5;0,5;0;;;;;;;;0,9;3,2;8,5;0,03;4,2;0;0,06;15,00;19,00;0,6;0,5;;2,7;0,5;0,5;0;;;;;;;;1,3;3,4;10,1;0,03;4,1;0;0,06;11,00;21,00;0,6;0,6;;2,6;0,6;0,5;0;;;;;;;;1,3;3,5;9,9;0,04;4,00;0;0,06;8,00;22,00;0,7;0,6;;2,5;0,6;0,5;0;;;;;;;;1,1;3,6;8,1;0,11;4,1;0;0,07;6,00;21,00;0,6;0,6;;2,6;0,6;0,5;0;;;;;;;;Geprueft
"2005-09-21 00:00:00";0,9;4,2;4,6;0,15;4,8;0;0,08;5,5;19,00;0,6;0,6;;2,5;0,5;0,5;0;;;;;;;;0,8;4,1;0;8,9;0,03;340,00;4,6;0;0,08;12,2;16,00;0,6;0,5;;2,8;0;0,4;;;;;;;;0,8;4,00;8,8;0,05;4,6;0;0,07;12,00;17,00;0,5;0,4;;2,8;0,5;0,4;0;;;;;;;;0,8;4,00;8,8;0,05;4,6;0;0,06;12,00;17,00;0,5;0,4;;2,8;0,9;0,4;0;;;;;;;;0,9;4,1;9,00;0,04;4,6;0;0,06;12,1;17,00;0,5;0,4;;2,7;0;0,4;0;;;;;;;;1,2;4,2;8,8;0,06;4,5;0;0,06;7,7;21,00;0,6;0,5;;2,5;0,5;0,5;0;;;;;;;;1,1;4,2;6,6;0,09;4,6;0;0,07;5,8;20,00;0,6;0,6;;2,7;0,6;0,5;0;;;;;;;;Geprueft
"2006-07-10 00:00:00";0,9;5,4;4,7;0,24;4,9;0;0,09;6,3;20,00;1,4;0,7;;2,8;0,6;0,9;0;;;;;;;;0,9;3,4;0,006;7,8;0,02;360,00;4,8;0;0;21,00;18,00;1,4;0,7;;2,7;0,6;0,7;;;;;;;;0,9;3,4;8,00;0,02;4,8;0;0,05;20,6;17,00;1,3;0,8;;2,5;0,5;0,6;0,005;;;;;;;;1,00;3,4;11,1;0;4,5;0;0;13,00;20,00;1,2;0,8;;2,4;0,4;0,5;0;;;;;;;;1,00;4,3;9,2;0,06;4,6;0;0,05;8,4;19,00;1,3;0,7;;2,9;0,5;0,6;0,005;;;;;;;;1,00;4,8;7,1;0,11;4,7;0;0,07;6,9;19,00;1,2;0,7;;2,7;0,5;0,7;0;;;;;;;;0,9;5,3;5,2;0,2;5,00;0;0,08;6,3;19,00;1,2;0,6;;2,8;0,6;0,7;0,009;;;;;;;;Geprueft
"2006-08-16 00:00:00";0,7;4,2;3,1;0,32;5,00;0;0;6,1;20,00;0,9;0,6;;2,8;0,6;0,6;0;;;;;;;;0,8;2,7;0,007;8,8;0,02;300,00;4,7;0;0;13,7;16,00;0,7;0,5;;2,4;0,4;0,5;;;;;;;;0,7;2,7;8,7;0,03;4,7;0;0;13,4;16,00;0,6;0,5;;2,5;0,4;0,4;0,007;;;;;;;;0,7;1,7;8,6;0,03;4,6;0;0;13,3;17,00;0,6;0,5;;2,7;0,4;0,4;0;;;;;;;;1,00;3,3;9,5;0,04;4,7;0;0;9,5;18,00;0,8;0,6;;2,5;0,5;0,5;0;;;;;;;;1,00;3,8;7,4;0,09;4,8;0;0;7,2;29,00;0,9;0,6;;2,7;0,6;0,6;0;;;;;;;;0,9;4,1;7,4;0,17;5,00;0;0;6,3;20,00;1,00;0,7;;2,8;0,6;0,6;0;;;;;;;;Geprueft
"2006-10-09 00:00:00";0,4;4,9;0,9;0,5;5,1;0;0,14;5,7;21,00;1,00;0,8;;3,2;0,7;0,6;0;;;;;;;;0,5;3,4;0;9,00;0;300,00;4,9;0;0,05;11,4;15,00;0,7;0,5;;2,5;0,5;0,4;;;;;;;;0,5;3,4;9,00;0;4,8;0;0,06;11,6;13,00;0,7;0,6;;2,5;0,5;0,4;0;;;;;;;;0,5;3,3;8,9;0;5,1;0;0,07;11,5;14,00;0,7;0,6;;2,5;0,5;0,4;0;;;;;;;;0,8;3,7;8,3;0,03;4,7;0;0,07;9,8;17,00;0,9;0,7;;2,5;0,5;0,5;0;;;;;;;;0,8;4,5;5,00;0,18;4,8;0;0,09;7,00;19,00;0,9;0,7;;2,7;0,6;0,6;0;;;;;;;;0,7;4,7;3,7;0,3;5,00;0;0,1;5,9;20,00;0,9;0,7;;2,7;0,7;0,6;0;;;;;;;;Geprueft
"2007-10-17 00:00:00";;4,6;1,6;0,59;6,00;0;0,16;10,8;22,00;;;;2,2;0,6;;0,017;;;;;;;;0,5;3,5;0;9,4;0,02;110,00;5,2;;0,17;12,7;15,00;0,7;0,4;;2,6;0;0,4;;;;;;;;0,5;3,5;9,5;0,01;5,1;;0,07;12,00;15,00;;;;2,6;0,6;;0;;;;;;;;0,5;3,5;9,1;0,01;5,1;0;0,05;11,9;15,00;;;;2,6;0;;0;;;;;;;;0,5;3,5;8,9;0,01;5,1;0;0;11,7;15,00;;;;2,6;0,5;;0;;;;;;;;0,6;4,2;4,6;0,11;5,5;0;0,06;10,9;17,00;;;;2,5;0,5;;0;;;;;;;;0;4,6;1,1;0,43;5,8;0;0,12;10,4;19,00;;;;2,4;0,6;;0,007;;;;;;;;Geprueft
"2008-06-24 09:15:00";0,3;5,1;1,6;0,45;5,8;0;0,09;6,00;21,00;1,1;0,4;0;2,3;0,5;0,5;0;15,00;;;;;;;0,8;3,2;0,006;8,1;0,01;300,00;5,3;0;0;20,7;16,00;0,6;0,4;0;2,5;0;0,4;104,00;;;;;;;0,8;3,2;9,1;0,02;5,2;0;0,06;17,9;16,00;0,6;0,4;0;2,4;0;0,4;0;111,00;;;;;;;0,8;3,3;10,8;0,02;5,1;0;0;13,3;17,00;0,6;0,4;0;2,4;0;0,4;0;120,00;;;;;;;0,8;4,00;8,7;0,06;5,3;0;0,06;9,5;17,00;0,8;0,4;0;2,4;0,5;0,4;0;88,00;;;;;;;0,7;4,00;6,1;0,13;5,5;0;0;7,3;17,00;0,8;0,5;0;2,4;0,5;0,4;0;58,00;;;;;;;0,5;5,1;2,8;0,27;5,6;0;0,13;7,6;18,00;0,9;0,4;0;2,4;0,5;0,5;0,007;27,00;;;;;;;Geprueft
"2008-10-21 09:45:00";0;4,7;3,2;0,51;5,9;0;0,18;7,7;20,00;0,8;0,5;0;2,3;0,6;0,5;0,006;30,00;;;;;;;0,5;3,6;0;9,5;0,04;400,00;5,4;0;0,15;9,6;14,00;0,6;0,4;0;2,6;0,5;0,4;96,00;;;;;;;0,5;3,7;9,8;0,04;5,4;0;0,09;9,4;14,00;0,6;0,4;0;2,6;0,5;0,4;0;97,00;;;;;;;0,5;3,6;9,9;0,04;5,3;0;0,08;9,3;14,00;0,6;0,4;0;2,6;0,5;0,4;0;97,00;;;;;;;0,5;3,7;9,7;0,04;5,3;0;0,08;8,8;14,00;0,6;0,4;0;2,6;0,5;0,4;0,005;95,00;;;;;;;0,5;3,7;9,2;0,06;5,4;0;0,08;8,6;14,00;0,6;0,4;0;2,6;0,5;0,4;0;90,00;;;;;;;0,5;3,7;9,3;0,05;5,3;0;0,08;8,4;14,00;0,6;0,4;0;2,6;0,5;0,4;0;90,00;;;;;;;Geprueft
"2009-05-25 00:01:00";0,5;4,4;3,2;0,18;5,6;0;0,08;6,4;17,00;0,8;0,5;0;2,5;0,5;0,5;0;31,00;;;;;;;0,8;3,00;0,006;8,3;0;;5,3;0;0,06;19,1;16,00;0,7;0,4;0;2,6;0;0,4;103,00;;;;;;;0,8;2,9;8,5;0;5,4;0;0,06;18,3;15,00;0,7;0,4;0;2,7;0;0,4;0,006;103,00;;;;;;;0,8;3,00;9,2;0,01;5,1;0;0,05;16,2;16,00;0,6;0,4;0;2,2;0;0,4;0,005;107,00;;;;;;;0,8;3,2;9,1;0,04;5,2;0;0,1;12,6;16,00;0,6;0,4;0;2,6;0;0,4;0;99,00;;;;;;;0,7;3,4;8,8;0,05;5,2;0;0,06;11,9;15,00;0,7;0,4;0;2,4;0;0,4;0;95,00;;;;;;;0,5;4,3;4,8;0,2;5,6;0;0,09;8,1;16,00;0,7;0,4;0;2,5;0,5;0,5;0,005;48,00;;;;;;;Geprueft
